millis,stamp,datetime,gas_mq7,gas_mq135
1000,1700404387, 2023/11/19 14:33:7,326,49
1999,1700404388, 2023/11/19 14:33:8,331,49
3000,1700404389, 2023/11/19 14:33:9,336,49
3998,1700404390, 2023/11/19 14:33:10,340,49
5000,1700404391, 2023/11/19 14:33:11,343,49
5999,1700404392, 2023/11/19 14:33:12,346,49
7000,1700404393, 2023/11/19 14:33:13,347,49
7999,1700404394, 2023/11/19 14:33:14,349,49
8998,1700404395, 2023/11/19 14:33:15,351,49
9998,1700404396, 2023/11/19 14:33:16,352,49
10999,1700404397, 2023/11/19 14:33:17,356,49
12000,1700404398, 2023/11/19 14:33:18,357,48
12999,1700404399, 2023/11/19 14:33:19,357,48
14000,1700404400, 2023/11/19 14:33:20,357,48
14999,1700404401, 2023/11/19 14:33:21,357,47
16000,1700404402, 2023/11/19 14:33:22,357,47
16999,1700404403, 2023/11/19 14:33:23,357,46
17999,1700404404, 2023/11/19 14:33:24,357,46
18999,1700404405, 2023/11/19 14:33:25,357,45
19998,1700404406, 2023/11/19 14:33:26,356,45
20999,1700404407, 2023/11/19 14:33:27,357,45
21999,1700404408, 2023/11/19 14:33:28,356,44
23000,1700404409, 2023/11/19 14:33:29,356,43
23999,1700404410, 2023/11/19 14:33:30,356,43
24999,1700404411, 2023/11/19 14:33:31,356,42
25999,1700404412, 2023/11/19 14:33:32,354,42
26999,1700404413, 2023/11/19 14:33:33,354,41
28000,1700404414, 2023/11/19 14:33:34,353,41
28999,1700404415, 2023/11/19 14:33:35,353,40
29999,1700404416, 2023/11/19 14:33:36,352,40
30998,1700404417, 2023/11/19 14:33:37,352,40
32000,1700404418, 2023/11/19 14:33:38,348,40
32999,1700404419, 2023/11/19 14:33:39,352,40
33998,1700404420, 2023/11/19 14:33:40,352,39
35000,1700404421, 2023/11/19 14:33:41,351,39
35999,1700404422, 2023/11/19 14:33:42,351,39
37000,1700404423, 2023/11/19 14:33:43,351,38
37999,1700404424, 2023/11/19 14:33:44,349,38
39000,1700404425, 2023/11/19 14:33:45,351,39
39999,1700404426, 2023/11/19 14:33:46,349,37
40999,1700404427, 2023/11/19 14:33:47,348,37
41999,1700404428, 2023/11/19 14:33:48,347,36
42999,1700404429, 2023/11/19 14:33:49,347,36
43998,1700404430, 2023/11/19 14:33:50,346,36
44998,1700404431, 2023/11/19 14:33:51,346,36
45999,1700404432, 2023/11/19 14:33:52,346,36
46999,1700404433, 2023/11/19 14:33:53,345,36
48000,1700404434, 2023/11/19 14:33:54,345,36
48999,1700404435, 2023/11/19 14:33:55,344,35
49999,1700404436, 2023/11/19 14:33:56,344,35
51000,1700404437, 2023/11/19 14:33:57,344,35
51999,1700404438, 2023/11/19 14:33:58,344,35
52999,1700404439, 2023/11/19 14:33:59,343,35
53999,1700404440, 2023/11/19 14:34:0,343,35
54999,1700404441, 2023/11/19 14:34:1,343,35
55999,1700404442, 2023/11/19 14:34:2,343,34
56999,1700404443, 2023/11/19 14:34:3,343,34
57999,1700404444, 2023/11/19 14:34:4,344,35
58999,1700404445, 2023/11/19 14:34:5,343,34
59999,1700404446, 2023/11/19 14:34:6,342,34
60998,1700404447, 2023/11/19 14:34:7,341,34
62000,1700404448, 2023/11/19 14:34:8,341,34
62999,1700404449, 2023/11/19 14:34:9,341,34
64000,1700404450, 2023/11/19 14:34:10,341,34
64999,1700404451, 2023/11/19 14:34:11,340,33
65999,1700404452, 2023/11/19 14:34:12,340,33
67000,1700404453, 2023/11/19 14:34:13,340,33
67999,1700404454, 2023/11/19 14:34:14,340,33
68999,1700404455, 2023/11/19 14:34:15,340,33
69998,1700404456, 2023/11/19 14:34:16,340,33
70999,1700404457, 2023/11/19 14:34:17,340,32
71999,1700404458, 2023/11/19 14:34:18,339,33
72999,1700404459, 2023/11/19 14:34:19,339,33
73999,1700404460, 2023/11/19 14:34:20,339,33
74999,1700404461, 2023/11/19 14:34:21,339,32
76000,1700404462, 2023/11/19 14:34:22,339,32
76999,1700404463, 2023/11/19 14:34:23,339,32
78000,1700404464, 2023/11/19 14:34:24,339,32
78999,1700404465, 2023/11/19 14:34:25,338,32
79998,1700404466, 2023/11/19 14:34:26,338,32
80998,1700404467, 2023/11/19 14:34:27,338,32
81998,1700404468, 2023/11/19 14:34:28,338,32
83000,1700404469, 2023/11/19 14:34:29,335,32
83999,1700404470, 2023/11/19 14:34:30,334,32
84999,1700404471, 2023/11/19 14:34:31,333,32
85999,1700404472, 2023/11/19 14:34:32,331,32
87000,1700404473, 2023/11/19 14:34:33,331,32
87999,1700404474, 2023/11/19 14:34:34,331,32
88999,1700404475, 2023/11/19 14:34:35,333,31
89999,1700404476, 2023/11/19 14:34:36,333,31
90999,1700404477, 2023/11/19 14:34:37,333,31
91999,1700404478, 2023/11/19 14:34:38,339,32
92998,1700404479, 2023/11/19 14:34:39,333,31
93999,1700404480, 2023/11/19 14:34:40,333,31
94999,1700404481, 2023/11/19 14:34:41,332,31
96000,1700404482, 2023/11/19 14:34:42,331,31
96999,1700404483, 2023/11/19 14:34:43,331,31
97999,1700404484, 2023/11/19 14:34:44,332,30
99000,1700404485, 2023/11/19 14:34:45,331,30
99999,1700404486, 2023/11/19 14:34:46,334,30
101000,1700404487, 2023/11/19 14:34:47,334,30
101999,1700404488, 2023/11/19 14:34:48,338,27
103000,1700404489, 2023/11/19 14:34:49,335,30
103999,1700404490, 2023/11/19 14:34:50,335,30
104999,1700404491, 2023/11/19 14:34:51,335,30
105999,1700404492, 2023/11/19 14:34:52,335,29
106999,1700404493, 2023/11/19 14:34:53,336,30
108000,1700404494, 2023/11/19 14:34:54,336,29
108999,1700404495, 2023/11/19 14:34:55,336,29
110000,1700404496, 2023/11/19 14:34:56,336,29
110999,1700404497, 2023/11/19 14:34:57,337,29
112000,1700404498, 2023/11/19 14:34:58,337,29
112999,1700404499, 2023/11/19 14:34:59,337,29
113999,1700404500, 2023/11/19 14:35:0,337,29
115000,1700404501, 2023/11/19 14:35:1,337,29
115999,1700404502, 2023/11/19 14:35:2,333,29
116999,1700404503, 2023/11/19 14:35:3,336,29
117999,1700404504, 2023/11/19 14:35:4,336,29
119000,1700404505, 2023/11/19 14:35:5,336,29
119998,1700404506, 2023/11/19 14:35:6,335,29
120998,1700404507, 2023/11/19 14:35:7,336,29
121998,1700404508, 2023/11/19 14:35:8,335,29
122999,1700404509, 2023/11/19 14:35:9,335,29
124000,1700404510, 2023/11/19 14:35:10,335,29
124999,1700404511, 2023/11/19 14:35:11,334,29
126000,1700404512, 2023/11/19 14:35:12,330,29
126999,1700404513, 2023/11/19 14:35:13,334,29
127998,1700404514, 2023/11/19 14:35:14,334,29
128998,1700404515, 2023/11/19 14:35:15,334,29
129998,1700404516, 2023/11/19 14:35:16,334,28
130999,1700404517, 2023/11/19 14:35:17,335,29
131998,1700404518, 2023/11/19 14:35:18,334,29
132999,1700404519, 2023/11/19 14:35:19,333,28
133998,1700404520, 2023/11/19 14:35:20,334,28
134999,1700404521, 2023/11/19 14:35:21,333,28
135999,1700404522, 2023/11/19 14:35:22,335,29
136999,1700404523, 2023/11/19 14:35:23,335,29
137999,1700404524, 2023/11/19 14:35:24,339,29
138999,1700404525, 2023/11/19 14:35:25,340,29
140000,1700404526, 2023/11/19 14:35:26,341,30
140999,1700404527, 2023/11/19 14:35:27,341,29
142000,1700404528, 2023/11/19 14:35:28,341,29
142999,1700404529, 2023/11/19 14:35:29,342,29
144000,1700404530, 2023/11/19 14:35:30,342,29
144999,1700404531, 2023/11/19 14:35:31,342,29
145999,1700404532, 2023/11/19 14:35:32,343,29
146999,1700404533, 2023/11/19 14:35:33,339,29
147999,1700404534, 2023/11/19 14:35:34,339,29
148998,1700404535, 2023/11/19 14:35:35,343,29
149999,1700404536, 2023/11/19 14:35:36,343,29
151000,1700404537, 2023/11/19 14:35:37,342,29
151999,1700404538, 2023/11/19 14:35:38,342,29
152999,1700404539, 2023/11/19 14:35:39,342,29
153999,1700404540, 2023/11/19 14:35:40,342,29
154999,1700404541, 2023/11/19 14:35:41,342,29
156000,1700404542, 2023/11/19 14:35:42,342,29
156998,1700404543, 2023/11/19 14:35:43,338,29
157999,1700404544, 2023/11/19 14:35:44,338,29
158999,1700404545, 2023/11/19 14:35:45,342,29
160000,1700404546, 2023/11/19 14:35:46,342,29
160999,1700404547, 2023/11/19 14:35:47,342,29
161999,1700404548, 2023/11/19 14:35:48,342,29
163000,1700404549, 2023/11/19 14:35:49,347,25
163999,1700404550, 2023/11/19 14:35:50,343,28
165000,1700404551, 2023/11/19 14:35:51,343,28
165999,1700404552, 2023/11/19 14:35:52,343,29
167000,1700404553, 2023/11/19 14:35:53,337,29
167999,1700404554, 2023/11/19 14:35:54,337,28
168999,1700404555, 2023/11/19 14:35:55,337,28
169999,1700404556, 2023/11/19 14:35:56,340,29
170999,1700404557, 2023/11/19 14:35:57,340,28
171999,1700404558, 2023/11/19 14:35:58,340,28
172998,1700404559, 2023/11/19 14:35:59,340,28
173999,1700404560, 2023/11/19 14:36:0,339,28
174999,1700404561, 2023/11/19 14:36:1,340,28
176000,1700404562, 2023/11/19 14:36:2,340,28
176999,1700404563, 2023/11/19 14:36:3,336,28
177999,1700404564, 2023/11/19 14:36:4,336,28
178999,1700404565, 2023/11/19 14:36:5,335,28
179999,1700404566, 2023/11/19 14:36:6,338,28
181000,1700404567, 2023/11/19 14:36:7,338,28
181999,1700404568, 2023/11/19 14:36:8,338,28
183000,1700404569, 2023/11/19 14:36:9,338,28
183999,1700404570, 2023/11/19 14:36:10,338,28
184999,1700404571, 2023/11/19 14:36:11,337,28
185999,1700404572, 2023/11/19 14:36:12,337,28
186999,1700404573, 2023/11/19 14:36:13,337,28
187998,1700404574, 2023/11/19 14:36:14,333,28
188998,1700404575, 2023/11/19 14:36:15,333,28
189999,1700404576, 2023/11/19 14:36:16,333,28
190999,1700404577, 2023/11/19 14:36:17,336,28
192000,1700404578, 2023/11/19 14:36:18,336,28
192999,1700404579, 2023/11/19 14:36:19,336,28
193999,1700404580, 2023/11/19 14:36:20,336,28
195000,1700404581, 2023/11/19 14:36:21,335,28
195999,1700404582, 2023/11/19 14:36:22,335,27
197000,1700404583, 2023/11/19 14:36:23,335,28
197999,1700404584, 2023/11/19 14:36:24,332,28
199000,1700404585, 2023/11/19 14:36:25,331,28
199999,1700404586, 2023/11/19 14:36:26,331,28
200999,1700404587, 2023/11/19 14:36:27,331,28
201999,1700404588, 2023/11/19 14:36:28,334,28
202998,1700404589, 2023/11/19 14:36:29,334,28
203999,1700404590, 2023/11/19 14:36:30,334,27
204998,1700404591, 2023/11/19 14:36:31,334,27
205999,1700404592, 2023/11/19 14:36:32,334,28
206998,1700404593, 2023/11/19 14:36:33,334,27
208000,1700404594, 2023/11/19 14:36:34,330,27
208999,1700404595, 2023/11/19 14:36:35,330,28
209999,1700404596, 2023/11/19 14:36:36,330,28
211000,1700404597, 2023/11/19 14:36:37,330,28
211999,1700404598, 2023/11/19 14:36:38,333,28
213000,1700404599, 2023/11/19 14:36:39,333,27
213999,1700404600, 2023/11/19 14:36:40,333,27
215000,1700404601, 2023/11/19 14:36:41,333,27
215999,1700404602, 2023/11/19 14:36:42,333,28
216999,1700404603, 2023/11/19 14:36:43,332,27
217999,1700404604, 2023/11/19 14:36:44,332,27
218998,1700404605, 2023/11/19 14:36:45,326,27
219999,1700404606, 2023/11/19 14:36:46,326,27
220998,1700404607, 2023/11/19 14:36:47,326,27
221999,1700404608, 2023/11/19 14:36:48,326,27
222999,1700404609, 2023/11/19 14:36:49,331,27
224000,1700404610, 2023/11/19 14:36:50,331,27
224999,1700404611, 2023/11/19 14:36:51,331,27
225999,1700404612, 2023/11/19 14:36:52,331,27
227000,1700404613, 2023/11/19 14:36:53,331,27
227999,1700404614, 2023/11/19 14:36:54,331,27
229000,1700404615, 2023/11/19 14:36:55,328,27
229999,1700404616, 2023/11/19 14:36:56,328,27
231000,1700404617, 2023/11/19 14:36:57,328,27
231999,1700404618, 2023/11/19 14:36:58,328,27
232999,1700404619, 2023/11/19 14:36:59,328,27
233999,1700404620, 2023/11/19 14:37:0,332,27
234999,1700404621, 2023/11/19 14:37:1,332,27
235999,1700404622, 2023/11/19 14:37:2,332,27
236998,1700404623, 2023/11/19 14:37:3,332,27
237999,1700404624, 2023/11/19 14:37:4,333,27
238999,1700404625, 2023/11/19 14:37:5,329,27
240000,1700404626, 2023/11/19 14:37:6,328,27
240999,1700404627, 2023/11/19 14:37:7,328,27
241999,1700404628, 2023/11/19 14:37:8,328,27
242999,1700404629, 2023/11/19 14:37:9,328,27
243999,1700404630, 2023/11/19 14:37:10,331,27
244999,1700404631, 2023/11/19 14:37:11,331,27
245998,1700404632, 2023/11/19 14:37:12,331,27
246999,1700404633, 2023/11/19 14:37:13,331,27
247998,1700404634, 2023/11/19 14:37:14,332,27
248998,1700404635, 2023/11/19 14:37:15,332,27
249999,1700404636, 2023/11/19 14:37:16,328,27
250999,1700404637, 2023/11/19 14:37:17,328,27
252000,1700404638, 2023/11/19 14:37:18,328,27
252999,1700404639, 2023/11/19 14:37:19,328,27
254000,1700404640, 2023/11/19 14:37:20,328,27
254999,1700404641, 2023/11/19 14:37:21,331,27
256000,1700404642, 2023/11/19 14:37:22,331,27
256999,1700404643, 2023/11/19 14:37:23,330,27
257999,1700404644, 2023/11/19 14:37:24,331,27
259000,1700404645, 2023/11/19 14:37:25,331,27
259998,1700404646, 2023/11/19 14:37:26,327,27
260999,1700404647, 2023/11/19 14:37:27,327,27
261998,1700404648, 2023/11/19 14:37:28,327,27
262999,1700404649, 2023/11/19 14:37:29,325,26
263998,1700404650, 2023/11/19 14:37:30,324,27
264998,1700404651, 2023/11/19 14:37:31,324,27
265999,1700404652, 2023/11/19 14:37:32,327,27
266998,1700404653, 2023/11/19 14:37:33,326,27
267999,1700404654, 2023/11/19 14:37:34,326,27
268998,1700404655, 2023/11/19 14:37:35,326,27
270000,1700404656, 2023/11/19 14:37:36,323,26
270999,1700404657, 2023/11/19 14:37:37,322,27
272000,1700404658, 2023/11/19 14:37:38,322,27
272999,1700404659, 2023/11/19 14:37:39,322,27
273999,1700404660, 2023/11/19 14:37:40,322,26
275000,1700404661, 2023/11/19 14:37:41,321,27
275998,1700404662, 2023/11/19 14:37:42,324,27
277000,1700404663, 2023/11/19 14:37:43,324,27
277999,1700404664, 2023/11/19 14:37:44,323,26
279000,1700404665, 2023/11/19 14:37:45,324,27
279999,1700404666, 2023/11/19 14:37:46,320,26
280999,1700404667, 2023/11/19 14:37:47,320,27
281999,1700404668, 2023/11/19 14:37:48,320,27
282999,1700404669, 2023/11/19 14:37:49,320,27
284000,1700404670, 2023/11/19 14:37:50,319,27
284999,1700404671, 2023/11/19 14:37:51,319,26
286000,1700404672, 2023/11/19 14:37:52,319,26
286999,1700404673, 2023/11/19 14:37:53,322,26
288000,1700404674, 2023/11/19 14:37:54,322,26
288999,1700404675, 2023/11/19 14:37:55,321,26
289999,1700404676, 2023/11/19 14:37:56,318,26
290998,1700404677, 2023/11/19 14:37:57,318,26
291998,1700404678, 2023/11/19 14:37:58,318,27
292999,1700404679, 2023/11/19 14:37:59,318,26
293998,1700404680, 2023/11/19 14:38:0,318,26
295000,1700404681, 2023/11/19 14:38:1,319,26
295999,1700404682, 2023/11/19 14:38:2,320,26
296999,1700404683, 2023/11/19 14:38:3,320,26
297999,1700404684, 2023/11/19 14:38:4,323,27
298999,1700404685, 2023/11/19 14:38:5,324,26
300000,1700404686, 2023/11/19 14:38:6,324,26
300998,1700404687, 2023/11/19 14:38:7,321,26
301999,1700404688, 2023/11/19 14:38:8,321,26
302998,1700404689, 2023/11/19 14:38:9,321,26
304000,1700404690, 2023/11/19 14:38:10,321,26
304999,1700404691, 2023/11/19 14:38:11,321,26
305999,1700404692, 2023/11/19 14:38:12,320,26
307000,1700404693, 2023/11/19 14:38:13,321,26
